Country,RGI_ID,GLIMS_ID,Glacier_Name,Number of dated surges,CENLAT,CENLON,AREA,ZMIN,ZMAX,ZMED,SLOPE,ASPECT,LMAX
Canada,RGI50-01.16122,G221417E60065N,4*8ABE12,0,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
Canada,RGI50-01.16122,G221417E60065N,4*8ABE14,0,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
Canada,RGI50-01.16122,G221417E60065N,4*8ABE15,0,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
Canada,RGI50-01.16122,G221417E60065N,4*8ABE8,0,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
Canada,RGI50-01.16122,G221417E60065N,4*8ABE9,0,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
Canada,RGI50-01.16122,G221417E60065N,Fisher 4*8ABE1,2,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
Canada,RGI50-01.16129,G222101E59860N,4*8ABO68,0,59.86,-137.899,3.36,377,1927,1198,28,355,3994
Canada,RGI50-01.16149,G222357E59762N,4*8ACA66,0,59.76216126,-137.6430817,71.669,658,2272,1539,13,96,18804
Canada,RGI50-01.16149,G222357E59762N,4*8ACA69,0,59.76216126,-137.6430817,71.669,658,2272,1539,13,96,18804
Canada,RGI50-01.16149,G222357E59762N,Alta 4*8ACA64,0,59.76216126,-137.6430817,71.669,658,2272,1539,13,96,18804
Canada,RGI50-01.16166,G222232E59826N,Range 4*8ABO45,0,59.826,-137.768,29.932,699,2318,1522,14,357,12992
Canada,RGI50-01.16168,G222495E59766N,Alki 4*8ACA80,0,59.766,-137.505,57.07,613,2270,1616,11,99,22209
Canada,RGI50-01.16180,G222492E59824N,4*8ACB12,0,59.824,-137.508,10.41,823,2406,1720,16,66,10553
Canada,RGI50-01.16191,G221083E60895N,4*9CAL152,0,60.89450836,-138.9172363,0.962,2368,2832,2627,28,217,1904
Canada,RGI50-01.16192,G221133E60899N,4*9CAL158,0,60.899,-138.867,3.92,2612,3475,2976,32,318,3932
Canada,RGI50-01.16193,G220915E60817N,4*9CAL99,0,60.817,-139.085,5.003,2088,2897,2481,26,189,3781
Canada,RGI50-01.16194,G220990E60829N,4*9CAL121,0,60.829,-139.01,19.663,1620,3067,2480,27,52,13847
Canada,RGI50-01.16194,G220990E60829N,4*9CAL122,0,60.829,-139.01,19.663,1620,3067,2480,27,52,13847
Canada,RGI50-01.16194,G220990E60829N,4*9CAL125,0,60.829,-139.01,19.663,1620,3067,2480,27,52,13847
Canada,RGI50-01.16194,G220990E60829N,Kasa 4*9CAL124,1,60.829,-139.01,19.663,1620,3067,2480,27,52,13847
Canada,RGI50-01.16196,G221026E60812N,4*9CAL119,0,60.812,-138.974,1.406,2345,2965,2614,30,31,2608
Canada,RGI50-01.16198,G220578E60873N,4*9CAO100,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO101,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO102,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO103,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO106,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO21,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO26,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO28,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO29,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO3,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
Canada,RGI50-01.16198,G220578E60873N,4*9CAO30,0,60.873,-139.422,324.131,1294,3690,2437,13,21,38253
