rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-04389,01,01-02,G209444E63205N,397256,624,2010-09-12T00:00:00,0,0,,1,-150.55585061502862,63.20487,,,0.096985673340784,,,,,,,,3.0
RGI2000-v7.0-G-01-04390,01,01-02,G209362E63214N,397197,624,2010-09-12T00:00:00,0,0,,1,-150.6373917323481,63.214110000000005,,,0.546529774454166,,,,,,,,3.0
RGI2000-v7.0-G-01-04391,01,01-02,G209347E63211N,397186,624,2010-09-12T00:00:00,0,0,,1,-150.65365572191178,63.2111655,,,0.782472841518794,,,,,,,,3.0
RGI2000-v7.0-G-01-04392,01,01-02,G209359E63203N,397195,624,2010-09-12T00:00:00,0,0,,1,-150.64025288215174,63.202095,,,0.699711524816877,,,,,,,,3.0
RGI2000-v7.0-G-01-04393,01,01-02,G209344E63196N,397182,624,2010-09-12T00:00:00,0,0,,1,-150.65242696767558,63.1971735,,,1.188314840672611,,,,,,,,3.0
RGI2000-v7.0-G-01-04394,01,01-02,G209363E63193N,397198,624,2010-09-12T00:00:00,0,0,,1,-150.6386928153595,63.192229499999996,,,0.949457553446003,,,,,,,,3.0
RGI2000-v7.0-G-01-04395,01,01-02,G209350E63183N,397187,624,2010-09-12T00:00:00,0,0,,1,-150.6491897084352,63.1836275,,,0.221673121819839,,,,,,,,3.0
RGI2000-v7.0-G-01-04397,01,01-02,G209331E63193N,397177,624,2010-09-12T00:00:00,0,0,,1,-150.66896536448672,63.192702499999996,,,0.076482236365841,,,,,,,,3.0
RGI2000-v7.0-G-01-04398,01,01-02,G209327E63196N,397176,624,2010-09-12T00:00:00,0,0,,1,-150.6735529039807,63.195869,,,0.056666477199184,,,,,,,,3.0
RGI2000-v7.0-G-01-04399,01,01-02,G209301E63176N,397157,624,2010-09-12T00:00:00,0,0,,1,-150.69995010850437,63.175222000000005,,,0.894255717922211,,,,,,,,3.0
RGI2000-v7.0-G-01-04400,01,01-02,G209298E63165N,397152,624,2010-09-12T00:00:00,0,0,,1,-150.70727325497884,63.1664075,,,2.168572485056826,,,,,,,,3.0
RGI2000-v7.0-G-01-04402,01,01-02,G209267E63145N,397126,624,2010-09-12T00:00:00,0,0,,1,-150.7293819056291,63.1450235,,,0.500033452171282,,,,,,,,3.0
